Дата	Отдел.Код	Товар.Код	Час	Количество	Сумма
14.01.2004 0:00	1	51406	13	1	84.08
14.01.2004 0:00	1	52458	11	1	46.99
14.01.2004 0:00	1	52458	12	1	49.91
14.01.2004 0:00	1	58592	15	1	90.41
14.01.2004 0:00	1	78981	17	1	46.55
14.01.2004 0:00	1	82545	17	1	180.81
15.01.2004 0:00	1	11291	18	1	86.94
15.01.2004 0:00	1	11291	19	1	86.94
15.01.2004 0:00	1	11945	17	1	11.62
15.01.2004 0:00	1	20475	18	1	190.34
15.01.2004 0:00	1	20529	18	1	124.6
15.01.2004 0:00	1	21269	13	1	186.31
15.01.2004 0:00	1	33068	13	1	60.19
15.01.2004 0:00	1	33340	15	1	37.3
15.01.2004 0:00	1	36259	16	1	72.75
15.01.2004 0:00	1	50780	9	2	17.44
15.01.2004 0:00	1	50780	17	1	8.72
15.01.2004 0:00	1	66644	14	1	198.53
15.01.2004 0:00	1	66644	18	1	198.53
15.01.2004 0:00	1	78981	14	1	46.55
15.01.2004 0:00	1	82545	9	1	173.32
15.01.2004 0:00	1	82545	13	1	173.32
16.01.2004 0:00	1	11829	12	6	14.4
16.01.2004 0:00	1	11946	15	1	10.58
16.01.2004 0:00	1	21269	12	1	186.31
16.01.2004 0:00	1	24061	13	1	134.21
16.01.2004 0:00	1	24909	19	1	28.21
16.01.2004 0:00	1	32593	15	1	19.75
16.01.2004 0:00	1	33068	16	1	60.19
16.01.2004 0:00	1	33340	13	1	37.3
16.01.2004 0:00	1	33340	15	1	37.3
16.01.2004 0:00	1	34687	11	1	30.01
16.01.2004 0:00	1	36259	10	1	72.75
16.01.2004 0:00	1	38452	11	1	227.04
16.01.2004 0:00	1	45819	18	1	150.69
16.01.2004 0:00	1	50780	9	1	8.72
16.01.2004 0:00	1	50780	14	1	8.72
16.01.2004 0:00	1	73820	10	1	9.11
16.01.2004 0:00	1	82545	17	1	173.32
16.01.2004 0:00	1	82545	18	3	542.43
17.01.2004 0:00	1	11291	16	1	86.94
17.01.2004 0:00	1	11931	9	1	13.6
17.01.2004 0:00	1	31052	12	1	56.5
17.01.2004 0:00	1	32275	10	1	40.47
17.01.2004 0:00	1	32427	13	1	63.8
17.01.2004 0:00	1	34687	10	1	30.01
17.01.2004 0:00	1	34687	15	1	30.01
17.01.2004 0:00	1	43701	14	2	9.84
17.01.2004 0:00	1	45807	17	1	123.63
17.01.2004 0:00	1	50780	8	1	8.72
17.01.2004 0:00	1	52458	9	1	49.91
17.01.2004 0:00	1	82545	12	1	173.32
17.01.2004 0:00	1	82545	14	1	173.32
18.01.2004 0:00	1	839	16	1	47.26
18.01.2004 0:00	1	11834	13	1	10.86
18.01.2004 0:00	1	28558	11	1	24.95
18.01.2004 0:00	1	33513	15	1	5.81
18.01.2004 0:00	1	41527	15	1	213.04
18.01.2004 0:00	1	43728	11	1	4.73
18.01.2004 0:00	1	50780	9	1	8.72
18.01.2004 0:00	1	62773	15	1	47.65
18.01.2004 0:00	1	81930	14	1	155.19
18.01.2004 0:00	1	82545	16	2	346.64
18.01.2004 0:00	1	83149	11	1	102.7
18.01.2004 0:00	1	83149	12	1	102.7
18.01.2004 0:00	1	83215	12	1	288.82
18.01.2004 0:00	1	83454	14	1	15.51
19.01.2004 0:00	1	2290	11	1	85.73
19.01.2004 0:00	1	11308	19	1	133.19
19.01.2004 0:00	1	11834	11	1	10.86
19.01.2004 0:00	1	11945	18	1	11.62
19.01.2004 0:00	1	21269	14	1	186.31
19.01.2004 0:00	1	31050	16	1	60.11
19.01.2004 0:00	1	31050	18	1	60.11
19.01.2004 0:00	1	31054	17	1	31.28
19.01.2004 0:00	1	32436	19	2	29.28
19.01.2004 0:00	1	32438	18	1	87.25
19.01.2004 0:00	1	33340	19	1	37.3
19.01.2004 0:00	1	36259	8	1	72.75
19.01.2004 0:00	1	36259	11	1	72.75
19.01.2004 0:00	1	50780	11	1	8.72
19.01.2004 0:00	1	50780	14	1	8.72
19.01.2004 0:00	1	52458	17	1	49.91
19.01.2004 0:00	1	73820	12	1	9.11
19.01.2004 0:00	1	82154	10	1	20.2
19.01.2004 0:00	1	83052	16	1	10.56
20.01.2004 0:00	1	1151	18	1	194.84
20.01.2004 0:00	1	2825	18	1	7.31
20.01.2004 0:00	1	11308	14	1	133.19
20.01.2004 0:00	1	11834	10	1	10.86
20.01.2004 0:00	1	11931	12	1	13.6
20.01.2004 0:00	1	20475	19	1	190.34
20.01.2004 0:00	1	20482	11	1	193.34
20.01.2004 0:00	1	20529	17	1	124.6
20.01.2004 0:00	1	31050	19	1	60.11
20.01.2004 0:00	1	32427	11	1	63.8
20.01.2004 0:00	1	33340	17	1	37.3
20.01.2004 0:00	1	33513	11	1	7.58
20.01.2004 0:00	1	43701	15	1	4.92
20.01.2004 0:00	1	43728	19	1	4.73
20.01.2004 0:00	1	58040	18	1	12.94
20.01.2004 0:00	1	79054	9	1	4.49
20.01.2004 0:00	1	82545	9	1	173.32
20.01.2004 0:00	1	82545	13	1	173.32
21.01.2004 0:00	1	15955	14	1	409.89
21.01.2004 0:00	1	27498	17	1	65.08
21.01.2004 0:00	1	28092	15	1	82.1
21.01.2004 0:00	1	31050	16	1	60.11
21.01.2004 0:00	1	32560	11	1	7.1
21.01.2004 0:00	1	33340	18	1	37.3
21.01.2004 0:00	1	36259	12	1	72.75
21.01.2004 0:00	1	36259	18	1	72.75
21.01.2004 0:00	1	45911	14	2	28.06
21.01.2004 0:00	1	71804	18	1	25.03
21.01.2004 0:00	1	79054	11	1	4.49
21.01.2004 0:00	1	79107	11	1	22.44
21.01.2004 0:00	1	82545	11	1	173.32
21.01.2004 0:00	1	82545	14	1	173.32
21.01.2004 0:00	1	83149	14	1	102.7
22.01.2004 0:00	1	1151	13	1	194.84
22.01.2004 0:00	1	11931	9	1	13.6
22.01.2004 0:00	1	11946	17	1	10.58
22.01.2004 0:00	1	21269	15	1	186.31
22.01.2004 0:00	1	31050	19	1	60.11
22.01.2004 0:00	1	32560	16	1	7.1
22.01.2004 0:00	1	34687	11	1	30.01
22.01.2004 0:00	1	36768	14	1	92.74
22.01.2004 0:00	1	43728	19	2	9.46
22.01.2004 0:00	1	50780	9	3	26.16
22.01.2004 0:00	1	50780	17	1	8.72
22.01.2004 0:00	1	51406	19	1	84.08
22.01.2004 0:00	1	52458	12	1	49.91
22.01.2004 0:00	1	70284	13	1	63.65
22.01.2004 0:00	1	79107	12	1	19.43
22.01.2004 0:00	1	82545	15	1	180.81
22.01.2004 0:00	1	83149	19	1	102.7
23.01.2004 0:00	1	6278	19	1	33.43
23.01.2004 0:00	1	11834	12	1	10.86
23.01.2004 0:00	1	32560	17	2	14.2
23.01.2004 0:00	1	36259	16	1	81.4
23.01.2004 0:00	1	43723	20	1	7.89
23.01.2004 0:00	1	50780	10	2	17.44
23.01.2004 0:00	1	50780	16	1	8.72
23.01.2004 0:00	1	52458	19	1	49.91
23.01.2004 0:00	1	78981	8	1	46.55
23.01.2004 0:00	1	83667	19	1	91.03
24.01.2004 0:00	1	839	20	1	47.26
24.01.2004 0:00	1	846	16	1	30.15
24.01.2004 0:00	1	10256	12	2	25.52
24.01.2004 0:00	1	11824	14	1	14.71
24.01.2004 0:00	1	31050	12	1	60.11
24.01.2004 0:00	1	32427	13	1	63.8
24.01.2004 0:00	1	32560	18	1	7.1
24.01.2004 0:00	1	32560	14	2	14.2
24.01.2004 0:00	1	43723	17	1	7.89
24.01.2004 0:00	1	45911	13	1	14.03
24.01.2004 0:00	1	52458	13	1	53.35
24.01.2004 0:00	1	57168	11	1	119.89
24.01.2004 0:00	1	82545	10	1	173.32
24.01.2004 0:00	1	82545	11	1	173.32
24.01.2004 0:00	1	82545	12	1	180.81
24.01.2004 0:00	1	83149	11	1	102.7
25.01.2004 0:00	1	10648	15	1	18.3
25.01.2004 0:00	1	11946	12	1	10.58
25.01.2004 0:00	1	11946	14	1	10.58
25.01.2004 0:00	1	24909	13	1	27.51
25.01.2004 0:00	1	24910	13	2	56.68
25.01.2004 0:00	1	27498	14	1	66.79
25.01.2004 0:00	1	36768	11	1	92.74
25.01.2004 0:00	1	70284	14	1	63.65
25.01.2004 0:00	1	79107	13	1	22.44
25.01.2004 0:00	1	83149	16	1	102.7
26.01.2004 0:00	1	10256	16	1	12.76
26.01.2004 0:00	1	11824	15	1	14.71
26.01.2004 0:00	1	11824	18	1	14.71
26.01.2004 0:00	1	24909	17	1	27.51
26.01.2004 0:00	1	24910	10	1	28.34
26.01.2004 0:00	1	27490	19	1	131.08
26.01.2004 0:00	1	27498	16	1	66.79
26.01.2004 0:00	1	28092	18	2	164.2
26.01.2004 0:00	1	32593	11	1	19.75
26.01.2004 0:00	1	33340	18	1	37.3
26.01.2004 0:00	1	33461	17	1	5.91
26.01.2004 0:00	1	52458	18	1	53.35
26.01.2004 0:00	1	70284	11	1	63.65
26.01.2004 0:00	1	75406	15	1	139.73
26.01.2004 0:00	1	78981	12	1	46.55
26.01.2004 0:00	1	82545	15	1	173.32
26.01.2004 0:00	1	83480	12	10	59.9
27.01.2004 0:00	1	839	17	1	47.26
27.01.2004 0:00	1	1151	17	1	194.84
27.01.2004 0:00	1	11946	13	1	10.58
27.01.2004 0:00	1	28092	17	1	81.31
27.01.2004 0:00	1	31050	16	1	60.11
27.01.2004 0:00	1	32560	8	1	7.1
27.01.2004 0:00	1	45806	17	1	229.08
27.01.2004 0:00	1	52458	14	1	53.35
27.01.2004 0:00	1	75406	11	1	139.73
27.01.2004 0:00	1	82545	13	1	173.32
27.01.2004 0:00	1	83149	16	1	102.7
27.01.2004 0:00	1	83563	13	1	43.83
28.01.2004 0:00	1	839	18	1	47.26
28.01.2004 0:00	1	11946	18	1	10.58
28.01.2004 0:00	1	27490	20	1	129.23
28.01.2004 0:00	1	27498	15	1	66.13
28.01.2004 0:00	1	31050	17	1	60.11
28.01.2004 0:00	1	32427	14	1	63.8
28.01.2004 0:00	1	32438	15	1	87.25
28.01.2004 0:00	1	41527	15	1	213.04
28.01.2004 0:00	1	52458	17	1	53.35
28.01.2004 0:00	1	78981	16	1	46.55
28.01.2004 0:00	1	82545	17	1	180.81
28.01.2004 0:00	1	83480	16	5	29.95
28.01.2004 0:00	1	83667	13	1	91.03
29.01.2004 0:00	1	848	10	1	173.84
29.01.2004 0:00	1	11946	20	1	10.58
29.01.2004 0:00	1	31050	13	1	60.11
29.01.2004 0:00	1	32427	16	1	63.8
29.01.2004 0:00	1	33340	14	1	37.3
29.01.2004 0:00	1	36259	18	2	162.8
29.01.2004 0:00	1	43723	17	2	15.78
29.01.2004 0:00	1	82154	13	1	22.08
29.01.2004 0:00	1	82545	16	2	346.64
30.01.2004 0:00	1	11291	16	1	86.94
30.01.2004 0:00	1	31054	10	1	31.28
30.01.2004 0:00	1	32438	16	1	85.55
30.01.2004 0:00	1	43700	20	1	4.93
30.01.2004 0:00	1	43723	17	1	7.89
30.01.2004 0:00	1	50780	19	5	48.15
30.01.2004 0:00	1	52458	16	2	100.98
30.01.2004 0:00	1	65840	19	1	69.3
30.01.2004 0:00	1	71804	15	1	25.03
30.01.2004 0:00	1	78981	16	1	46.55
30.01.2004 0:00	1	82545	20	1	173.32
30.01.2004 0:00	1	82845	8	2	77.66
31.01.2004 0:00	1	839	12	1	47.26
31.01.2004 0:00	1	11946	10	1	10.58
31.01.2004 0:00	1	13840	9	1	3.77
31.01.2004 0:00	1	24909	9	1	28.3
31.01.2004 0:00	1	31054	10	2	62.84
31.01.2004 0:00	1	33513	14	2	15.16
31.01.2004 0:00	1	50780	8	1	9.63
31.01.2004 0:00	1	50780	9	2	19.26
31.01.2004 0:00	1	50780	10	1	9.63
31.01.2004 0:00	1	71804	11	1	25.03
31.01.2004 0:00	1	78981	11	1	46.55
31.01.2004 0:00	1	82154	20	1	22.08
31.01.2004 0:00	1	83052	12	1	10.56
31.01.2004 0:00	1	83052	19	1	10.56
31.01.2004 0:00	1	83149	14	1	102.7
31.01.2004 0:00	1	83667	11	1	91.03
01.02.2004 0:00	1	1151	18	1	196.55
01.02.2004 0:00	1	11946	9	1	10.58
01.02.2004 0:00	1	27498	9	1	66.79
01.02.2004 0:00	1	31050	13	1	60.11
01.02.2004 0:00	1	32427	15	1	63.25
01.02.2004 0:00	1	32560	18	2	14.2
01.02.2004 0:00	1	36259	15	1	81.4
01.02.2004 0:00	1	36259	17	1	81.4
01.02.2004 0:00	1	38453	13	1	108.88
01.02.2004 0:00	1	43700	15	1	4.93
01.02.2004 0:00	1	45809	15	1	249.78
01.02.2004 0:00	1	45810	14	1	149.74
01.02.2004 0:00	1	71804	16	1	25.03
01.02.2004 0:00	1	75406	13	1	141.51
01.02.2004 0:00	1	79054	18	3	13.47
01.02.2004 0:00	1	82545	19	1	173.32
01.02.2004 0:00	1	83149	17	1	102.7
02.02.2004 0:00	1	848	17	1	173.84
02.02.2004 0:00	1	21269	17	1	186.31
02.02.2004 0:00	1	21269	19	1	186.31
02.02.2004 0:00	1	31050	19	1	60.11
02.02.2004 0:00	1	32560	17	4	28.4
02.02.2004 0:00	1	33513	13	2	15.16
02.02.2004 0:00	1	36259	14	1	81.4
02.02.2004 0:00	1	41527	17	1	213.04
02.02.2004 0:00	1	43700	14	1	4.93
02.02.2004 0:00	1	43700	18	1	4.93
02.02.2004 0:00	1	45911	18	4	56.12
02.02.2004 0:00	1	52458	13	1	50.49
02.02.2004 0:00	1	62773	11	1	47.65
02.02.2004 0:00	1	62773	15	1	59.27
02.02.2004 0:00	1	71804	14	1	25.03
02.02.2004 0:00	1	78981	17	1	46.55
02.02.2004 0:00	1	82545	17	1	180.81
02.02.2004 0:00	1	83454	10	1	15.51
03.02.2004 0:00	1	848	18	1	173.84
03.02.2004 0:00	1	21269	15	1	186.31
03.02.2004 0:00	1	21269	17	1	186.31
03.02.2004 0:00	1	24061	8	1	156.29
03.02.2004 0:00	1	33068	10	1	60.19
03.02.2004 0:00	1	33340	18	1	37.3
03.02.2004 0:00	1	40372	18	1	11.22
03.02.2004 0:00	1	71804	19	1	25.03
03.02.2004 0:00	1	79054	20	1	4.49
03.02.2004 0:00	1	82545	14	1	173.32
03.02.2004 0:00	1	82545	20	1	173.32
03.02.2004 0:00	1	83052	10	3	31.68
04.02.2004 0:00	1	11946	16	1	10.58
04.02.2004 0:00	1	24061	10	1	134.21
04.02.2004 0:00	1	27498	8	1	66.79
04.02.2004 0:00	1	27498	13	2	133.58
04.02.2004 0:00	1	27498	18	1	66.79
04.02.2004 0:00	1	31050	13	1	60.11
04.02.2004 0:00	1	32435	10	1	9.19
04.02.2004 0:00	1	36259	11	1	81.4
04.02.2004 0:00	1	41527	18	1	213.04
04.02.2004 0:00	1	52458	20	1	50.49
04.02.2004 0:00	1	66647	17	1	148.37
04.02.2004 0:00	1	70284	13	1	63.65
04.02.2004 0:00	1	71804	16	1	25.03
04.02.2004 0:00	1	81930	16	1	155.65
04.02.2004 0:00	1	82545	16	1	173.32
05.02.2004 0:00	1	2291	19	1	274.09
05.02.2004 0:00	1	11824	11	1	14.71
05.02.2004 0:00	1	28560	11	1	31.3
05.02.2004 0:00	1	31050	9	1	60.11
05.02.2004 0:00	1	31050	10	1	60.11
05.02.2004 0:00	1	32435	13	1	9.19
05.02.2004 0:00	1	32560	17	2	14.2
05.02.2004 0:00	1	32560	18	1	7.1
05.02.2004 0:00	1	33036	12	1	213.58
05.02.2004 0:00	1	33068	12	1	60.19
05.02.2004 0:00	1	33340	13	1	37.3
05.02.2004 0:00	1	43700	17	1	4.93
05.02.2004 0:00	1	52458	11	1	50.49
05.02.2004 0:00	1	52458	16	1	53.35
05.02.2004 0:00	1	71804	10	1	25.03
05.02.2004 0:00	1	75406	13	1	141.51
05.02.2004 0:00	1	79054	17	2	8.98
05.02.2004 0:00	1	82545	13	1	173.32
05.02.2004 0:00	1	82545	17	1	173.32
05.02.2004 0:00	1	83215	10	1	288.82
06.02.2004 0:00	1	487	13	5	11.2
06.02.2004 0:00	1	487	18	1	2.24
06.02.2004 0:00	1	11308	18	1	116.05
06.02.2004 0:00	1	11829	18	1	2.4
06.02.2004 0:00	1	13840	12	1	3.77
06.02.2004 0:00	1	31050	18	1	60.11
06.02.2004 0:00	1	32438	15	1	85.55
06.02.2004 0:00	1	32560	15	4	28.4
06.02.2004 0:00	1	32560	18	1	7.1
06.02.2004 0:00	1	33340	17	1	37.3
06.02.2004 0:00	1	41527	14	1	211.14
06.02.2004 0:00	1	45816	19	1	149.74
06.02.2004 0:00	1	57168	14	1	119.89
06.02.2004 0:00	1	71804	15	3	75.09
06.02.2004 0:00	1	75406	16	1	141.51
06.02.2004 0:00	1	82545	18	1	173.32
06.02.2004 0:00	1	83454	20	1	15.51
07.02.2004 0:00	1	1151	14	1	194.84
07.02.2004 0:00	1	2290	10	1	86.85
07.02.2004 0:00	1	11824	9	1	14.71
07.02.2004 0:00	1	19335	14	2	117.62
07.02.2004 0:00	1	21270	14	1	98.21
07.02.2004 0:00	1	25127	18	1	70.49
07.02.2004 0:00	1	27490	13	1	131.08
07.02.2004 0:00	1	34687	12	1	40.98
07.02.2004 0:00	1	45809	12	1	249.78
07.02.2004 0:00	1	73820	9	1	9.63
07.02.2004 0:00	1	79054	13	1	4.49
07.02.2004 0:00	1	82545	13	1	173.32
07.02.2004 0:00	1	83149	13	1	102.7
07.02.2004 0:00	1	83454	10	1	15.51
07.02.2004 0:00	1	83563	18	1	44.65
07.02.2004 0:00	1	83563	19	1	44.25
08.02.2004 0:00	1	1138	16	1	102.67
08.02.2004 0:00	1	32271	9	1	68.29
08.02.2004 0:00	1	32427	11	1	62.84
08.02.2004 0:00	1	32435	16	1	9.19
